index,name,Glass,Shake,Stir,Float,Frost,Blend,Build,Inst_sum,Gin,Liqueur,Juice,Cordial,Brandy,Rum,Whisky,Vodka,Wine,Beer,Soft Drink,Flower,Garnish,Milk,Cream,Syrup,Rimming,Sum
1,A1,Cocktail glass,1,0,0,0,0,0,1,2.625,1.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,4.687
2,ABC,Shot glass,0,0,0,0,0,0,0,0,0.334,0,0,0.334,0,0,0,0,0,0,0,0,0,0,0.00,0,0.668
3,Ace,Martini Glass,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.5,0.75,0,5
4,ACID,Shot glass,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.00,0,2
5,Adam,Cocktail glass,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0.17,0,3.167
6,AT&T,Highball Glass,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0.00,0,6
7,A. J.,Cocktail glass,1,0,0,0,0,0,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2.5
8,Affair,Highball glass,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,4
9,Apello,Collins Glass,0,1,0,0,0,0,1,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,1.01
10,Avalon,Highball glass,0,1,0,0,0,0,1,0,1,1.5,0,0,0,0,3,0,0,0,0,0,0,0,0.00,0,5.5
11,Abilene,Highball glass,0,1,0,0,0,0,1,0,0,3,0,0,1.5,0,0,0,0,0,0,0,0,0,0.00,0,4.5
12,Addison,Martini Glass,1,0,0,0,0,0,1,2.25,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0.00,0,4.5
13,Almeria,Cocktail glass,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.00,0,3
14,Acapulco,Old-fashioned glass,1,0,0,0,0,0,1,0,0.25,0.5,0,0,1.5,0,0,0,0,0,1,0,0,0,0.00,0,3.25
15,Affinity,Cocktail glass,0,1,0,0,0,0,1,0,0.04,0,0,0,0,1.5,0,1,0,0,0,0,0,0,0.00,0,2.54
16,Applecar,Cocktail glass,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,3
17,Aviation,Cocktail glass,1,0,0,0,0,0,1,1.521,0.5,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2.529
18,Addington,Cocktail glass,1,0,0,0,0,0,1,0,0,0,0.1,0,0,0,0,1.5,0,0,0,0,0,0,0.00,0,1.6
19,After sex,Highball glass,0,0,0,0,0,0,0,0,0.338,0,0,0,0,0,0.676,0,0,0,0,0,0,0,0.00,0,1.014
20,Afterglow,Highball Glass,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0,5
21,Afternoon,Collins Glass,0,0,0,0,0,1,1,0,0.507,0,1.352,0,0,0,0,0,0,0,0,0,0,0,0.00,0,1.859
22,Alexander,Cocktail glass,1,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00,0,3
23,Algonquin,Cocktail glass,1,0,0,0,0,0,1,0,0,1,0,0,0,1.5,0,1,0,0,0,0,0,0,0.00,0,3.5
24,Allegheny,Cocktail glass,1,0,0,0,0,0,1,0,0,0.25,0,0.25,0,1,0,1,0,0,0,0,0,0,0.00,0,2.5
25,B-52,Shot glass,0,1,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.25
