index,name,Glass
1,A1,Cocktail glass
2,ABC,Shot glass
3,Ace,Martini Glass
4,ACID,Shot glass
5,Adam,Cocktail glass
6,AT&T,Highball Glass
7,A. J.,Cocktail glass
8,Affair,Highball glass
9,Apello,Collins Glass
10,Avalon,Highball glass
11,Abilene,Highball glass
12,Addison,Martini Glass
13,Almeria,Cocktail glass
14,Acapulco,Old-fashioned glass
15,Affinity,Cocktail glass
16,Applecar,Cocktail glass
17,Aviation,Cocktail glass
18,Addington,Cocktail glass
19,After sex,Highball glass
20,Afterglow,Highball Glass
21,Afternoon,Collins Glass
22,Alexander,Cocktail glass
23,Algonquin,Cocktail glass
24,Allegheny,Cocktail glass
25,B-52,Shot glass
26,B-53,Collins Glass
27,Bijou,Cocktail glass
28,Boxcar,Whiskey sour glass
29,Big Red,Shot glass
30,Bellini,Champagne Flute
31,Bramble,Old-Fashioned glass
32,Balmoral,Cocktail glass
33,Bluebird,Cocktail glass
34,Brooklyn,Cocktail glass
35,Bora Bora,Highball glass
36,Boomerang,Cocktail glass
37,Barracuda,Margarita glass
38,Brigadier,Coupe Glass
39,Broadside,Highball glass
40,Buccaneer,Beer pilsner
41,Brain Fart,Punch bowl
42,Blackthorn,Cocktail glass
43,Bob Marley,Shot glass
44,Bible Belt,Highball glass
45,Bubble Gum,Shot glass
46,Bumble Bee,Shot glass
47,Baby Eskimo,Collins Glass
48,Boston Sour,Whiskey sour glass
49,Bahama Mama,Highball glass
50,Casino,Cocktail glass
51,Cafe Savoy,Coffee mug
52,Cream Soda,Highball glass
53,Cuba Libra,Highball glass
54,Cherry Rum,Cocktail glass
55,Cuba Libre,Highball glass
56,Corn n Oil,Old-fashioned glass
57,Citrus Coke,Highball Glass
58,Casa Blanca,Cocktail glass
59,Clover Club,Cocktail glass
60,Caipirissima,Collins Glass
61,Campari Beer,Beer mug
62,Chicago Fizz,Highball glass
63,Cosmopolitan,Cocktail glass
64,Coffee-Vodka,Collins Glass
65,Casino Royale,Whiskey sour glass
66,Chocolate Milk,Shot Glass
